"","judge","Var2","KL.dist3","judgetrad","new"
"534","AU1",1995,0.00874311437954525,"german",1
"547","AU1",1996,0.00821122417228125,"german",1
"560","AU1",1997,0.00759378953685602,"german",1
"573","AU1",1998,0.0075812933130794,"german",1
"586","AU1",1999,0.0077567910612144,"german",1
"599","AU1",2000,0.00856457278313321,"german",1
"612","AU1",2001,0.00959228624217973,"german",1
"625","AU1",2002,0.0101098192617742,"german",1
"638","AU1",2003,0.0108071962874628,"german",1
"651","AU1",2004,0.0111634670434937,"german",1
"664","AU1",2005,0.0117068226129978,"german",1
"677","AU1",2006,0.0124188248444121,"german",1
"690","AU1",2007,0.0130638111792431,"german",1
"703","AU1",2008,0.0138053275363166,"german",1
"716","AU1",2009,0.0136735212457634,"german",1
"729","AU1",2010,0.0137439578761654,"german",1
"3948","BE4",1995,0.00875398174828907,"roman",0
"3955","BE4",1996,0.00863252420732026,"roman",0
"3962","BE4",1997,0.00843565311303087,"roman",0
"3969","BE4",1998,0.00855487764072967,"roman",0
"3976","BE4",1999,0.00875380938589861,"roman",0
"3983","BE4",2000,0.00914987989143468,"roman",0
"3990","BE4",2001,0.0103265409903428,"roman",0
"3997","BE4",2002,0.0109296698189444,"roman",0
"4004","BE4",2003,0.0115917453171286,"roman",0
"4011","BE4",2004,0.0118125027701291,"roman",0
"4018","BE4",2005,0.0123219127976878,"roman",0
"4025","BE4",2006,0.0127858307955442,"roman",0
"4032","BE4",2007,0.0134556572769967,"roman",0
"4039","BE4",2008,0.0137891678146455,"roman",0
"4046","BE4",2009,0.0137827292781817,"roman",0
"4053","BE4",2010,0.0136538053138476,"roman",0
"9567","DE7",1995,0.0106918276784339,"german",0
"9572","DE7",1996,0.0111638337745078,"german",0
"9577","DE7",1997,0.0121184044193941,"german",0
"9582","DE7",1998,0.012612692141973,"german",0
"9587","DE7",1999,0.0124698963106123,"german",0
"9592","DE7",2000,0.0124449207797273,"german",0
"9597","DE7",2001,0.0137753941102429,"german",0
"9602","DE7",2002,0.0143569675548594,"german",0
"9607","DE7",2003,0.0145418968196034,"german",0
"9612","DE7",2004,0.0144095601671317,"german",0
"9617","DE7",2005,0.0150278486617591,"german",0
"9622","DE7",2006,0.0160715906617538,"german",0
"9627","DE7",2007,0.0169317763755702,"german",0
"9632","DE7",2008,0.0175188591133464,"german",0
"9637","DE7",2009,0.0178026512785973,"german",0
"9642","DE7",2010,0.0179646658453946,"german",0
"12213","DK3",1995,0.00714714063284177,"nordic",0
"12224","DK3",1996,0.00779678604176385,"nordic",0
"12235","DK3",1997,0.00838536780752937,"nordic",0
"12246","DK3",1998,0.0088933913374237,"nordic",0
"12257","DK3",1999,0.00919413854781265,"nordic",0
"12268","DK3",2000,0.00926697261331302,"nordic",0
"12279","DK3",2001,0.00969899194498696,"nordic",0
"12290","DK3",2002,0.01021272818378,"nordic",0
"12301","DK3",2003,0.0106074535293612,"nordic",0
"12312","DK3",2004,0.0111384231968744,"nordic",0
"12323","DK3",2005,0.011569908547738,"nordic",0
"12334","DK3",2006,0.0127145800026633,"nordic",0
"12345","DK3",2007,0.0136158821671044,"nordic",0
"12356","DK3",2008,0.014367994258959,"nordic",0
"12367","DK3",2009,0.0146875387340951,"nordic",0
"12378","DK3",2010,0.0151350917286507,"nordic",0
"14466","ES1",1995,0.0218518146898307,"roman",0
"14482","ES1",1996,0.0215071862069057,"roman",0
"14498","ES1",1997,0.0217572835291158,"roman",0
"14514","ES1",1998,0.0215573690091419,"roman",0
"14530","ES1",1999,0.0217313248080603,"roman",0
"14546","ES1",2000,0.021838529136303,"roman",0
"14562","ES1",2001,0.0221875768838626,"roman",0
"14578","ES1",2002,0.0230482923512211,"roman",0
"14594","ES1",2003,0.023759421522351,"roman",0
"14610","ES1",2004,0.0250019466491047,"roman",0
"14626","ES1",2005,0.0252032792787548,"roman",0
"14642","ES1",2006,0.0259269650316401,"roman",0
"14658","ES1",2007,0.026400286680666,"roman",0
"14674","ES1",2008,0.0271003403497719,"roman",0
"14690","ES1",2009,0.02752152981208,"roman",0
"14706","ES1",2010,0.0280930227875542,"roman",0
"15967","FI1",1995,0.0109145936589577,"nordic",1
"15973","FI1",1996,0.0108511669761535,"nordic",1
"15979","FI1",1997,0.0107225624992291,"nordic",1
"15985","FI1",1998,0.0106161637916224,"nordic",1
"15991","FI1",1999,0.0107626431100277,"nordic",1
"15997","FI1",2000,0.0113952419637711,"nordic",1
"16003","FI1",2001,0.0121834422056483,"nordic",1
"16009","FI1",2002,0.0126259581766325,"nordic",1
"16015","FI1",2003,0.0131484250461894,"nordic",1
"16021","FI1",2004,0.0141541678654465,"nordic",1
"16027","FI1",2005,0.0150368258372598,"nordic",1
"16033","FI1",2006,0.0164473239791054,"nordic",1
"16039","FI1",2007,0.0170008604195452,"nordic",1
"16045","FI1",2008,0.0180523053955419,"nordic",1
"16051","FI1",2009,0.0181944352413691,"nordic",1
"16057","FI1",2010,0.0188273234478467,"nordic",1
"19293","FR6",1995,0.00791680337414169,"roman",0
"19304","FR6",1996,0.00843236230223118,"roman",0
"19315","FR6",1997,0.00952387618728732,"roman",0
"19326","FR6",1998,0.00953408031917847,"roman",0
"19337","FR6",1999,0.00970323013149383,"roman",0
"19348","FR6",2000,0.00932378084724434,"roman",0
"19359","FR6",2001,0.0100098889450912,"roman",0
"19370","FR6",2002,0.01023742853076,"roman",0
"19381","FR6",2003,0.0102812943506697,"roman",0
"19392","FR6",2004,0.0101707182740308,"roman",0
"19403","FR6",2005,0.0106123516579729,"roman",0
"19414","FR6",2006,0.0115668498675794,"roman",0
"19425","FR6",2007,0.0124672911072104,"roman",0
"19436","FR6",2008,0.013033269027567,"roman",0
"19447","FR6",2009,0.0133691552897098,"roman",0
"19458","FR6",2010,0.0139061218002982,"roman",0
"20826","GR2",1995,0.0101833055616303,"roman",0
"20839","GR2",1996,0.0103656107207082,"roman",0
"20852","GR2",1997,0.0107912547735526,"roman",0
"20865","GR2",1998,0.0115029109878749,"roman",0
"20878","GR2",1999,0.0118351158701042,"roman",0
"20891","GR2",2000,0.0122514007535046,"roman",0
"20904","GR2",2001,0.0136999544114575,"roman",0
"20917","GR2",2002,0.0145979895462173,"roman",0
"20930","GR2",2003,0.0150630622961477,"roman",0
"20943","GR2",2004,0.0148433336048178,"roman",0
"20956","GR2",2005,0.0150788572956671,"roman",0
"20969","GR2",2006,0.0162368202667094,"roman",0
"20982","GR2",2007,0.0173340286997115,"roman",0
"20995","GR2",2008,0.0183875872711362,"roman",0
"21008","GR2",2009,0.0185732930730521,"roman",0
"21021","GR2",2010,0.0186000111830845,"roman",0
"24292","IE4",1995,0.00674795144426284,"commonlaw",0
"24299","IE4",1996,0.00725186973961572,"commonlaw",0
"24306","IE4",1997,0.00840996418481302,"commonlaw",0
"24313","IE4",1998,0.00890768421181379,"commonlaw",0
"24320","IE4",1999,0.00907433630988079,"commonlaw",0
"24327","IE4",2000,0.00922571596777574,"commonlaw",0
"24334","IE4",2001,0.00986593437187799,"commonlaw",0
"24341","IE4",2002,0.0102142574371101,"commonlaw",0
"24348","IE4",2003,0.0103764241771853,"commonlaw",0
"24355","IE4",2004,0.010473122793294,"commonlaw",0
"24362","IE4",2005,0.0110333486639984,"commonlaw",0
"24369","IE4",2006,0.0119781604524665,"commonlaw",0
"24376","IE4",2007,0.0129068425014757,"commonlaw",0
"24383","IE4",2008,0.0133759852522189,"commonlaw",0
"24390","IE4",2009,0.0137737537401036,"commonlaw",0
"24397","IE4",2010,0.0140613591633424,"commonlaw",0
"28738","IT8",1995,0.00926751309284865,"roman",0
"28748","IT8",1996,0.00924735283544942,"roman",0
"28758","IT8",1997,0.00941126767854688,"roman",0
"28768","IT8",1998,0.010588343839411,"roman",0
"28778","IT8",1999,0.0112241741931215,"roman",0
"28788","IT8",2000,0.0122882065589235,"roman",0
"28798","IT8",2001,0.0137465107797478,"roman",0
"28808","IT8",2002,0.0143972992168393,"roman",0
"28818","IT8",2003,0.0148274802408921,"roman",0
"28828","IT8",2004,0.0145433679538804,"roman",0
"28838","IT8",2005,0.0151381044431735,"roman",0
"28848","IT8",2006,0.0154621796652809,"roman",0
"28858","IT8",2007,0.0165601853827874,"roman",0
"28868","IT8",2008,0.0170162449129264,"roman",0
"28878","IT8",2009,0.0173450464774079,"roman",0
"28888","IT8",2010,0.0168083181431305,"roman",0
"37215","NL5",1995,0.00482523811461967,"roman",0
"37224","NL5",1996,0.00473557434910856,"roman",0
"37233","NL5",1997,0.00562437675162697,"roman",0
"37242","NL5",1998,0.00612428020724157,"roman",0
"37251","NL5",1999,0.00636839908901394,"roman",0
"37260","NL5",2000,0.00626001769738301,"roman",0
"37269","NL5",2001,0.00696767592686779,"roman",0
"37278","NL5",2002,0.00777006569401749,"roman",0
"37287","NL5",2003,0.00823140907278201,"roman",0
"37296","NL5",2004,0.00840164914193086,"roman",0
"37305","NL5",2005,0.00848659822899039,"roman",0
"37314","NL5",2006,0.00917725625878793,"roman",0
"37323","NL5",2007,0.0098162197472393,"roman",0
"37332","NL5",2008,0.0102760917107035,"roman",0
"37341","NL5",2009,0.0105249916148357,"roman",0
"37350","NL5",2010,0.0107655581960619,"roman",0
"39423","PT1",1995,0.00623529153966559,"roman",0
"39436","PT1",1996,0.00654433258655009,"roman",0
"39449","PT1",1997,0.00752661130625673,"roman",0
"39462","PT1",1998,0.00799224738613725,"roman",0
"39475","PT1",1999,0.00812236564114665,"roman",0
"39488","PT1",2000,0.00822181313194581,"roman",0
"39501","PT1",2001,0.00880708387608312,"roman",0
"39514","PT1",2002,0.00945972198209354,"roman",0
"39527","PT1",2003,0.00976802409554405,"roman",0
"39540","PT1",2004,0.010126039496157,"roman",0
"39553","PT1",2005,0.0105104118214916,"roman",0
"39566","PT1",2006,0.0114839104772898,"roman",0
"39579","PT1",2007,0.0121855168089659,"roman",0
"39592","PT1",2008,0.0126412104938734,"roman",0
"39605","PT1",2009,0.0128723621991412,"roman",0
"39618","PT1",2010,0.0132075821459389,"roman",0
"41205","SE1",1995,0.00920198948147966,"nordic",1
"41209","SE1",1996,0.00902728123936472,"nordic",1
"41213","SE1",1997,0.00878828624654627,"nordic",1
"41217","SE1",1998,0.00874867014693178,"nordic",1
"41221","SE1",1999,0.0086162966636696,"nordic",1
"41225","SE1",2000,0.00923101837098425,"nordic",1
"41229","SE1",2001,0.0103994656947039,"nordic",1
"41233","SE1",2002,0.0110519380970368,"nordic",1
"41237","SE1",2003,0.0113665226948554,"nordic",1
"41241","SE1",2004,0.011736024572153,"nordic",1
"41245","SE1",2005,0.0124439240585739,"nordic",1
"41249","SE1",2006,0.0135958950406906,"nordic",1
"41253","SE1",2007,0.0142268892830801,"nordic",1
"41257","SE1",2008,0.0151418659115709,"nordic",1
"41261","SE1",2009,0.0154653341257177,"nordic",1
"41265","SE1",2010,0.0158850652864651,"nordic",1
"44795","UK3",1995,0.00616843865025818,"commonlaw",0
"44806","UK3",1996,0.00656816163393259,"commonlaw",0
"44817","UK3",1997,0.007549602590238,"commonlaw",0
"44828","UK3",1998,0.00812040168635311,"commonlaw",0
"44839","UK3",1999,0.00846562033222742,"commonlaw",0
"44850","UK3",2000,0.00870283521108054,"commonlaw",0
"44861","UK3",2001,0.00971233613916606,"commonlaw",0
"44872","UK3",2002,0.0100384887633641,"commonlaw",0
"44883","UK3",2003,0.0101905752837066,"commonlaw",0
"44894","UK3",2004,0.00994903428877756,"commonlaw",0
"44905","UK3",2005,0.0102401324492215,"commonlaw",0
"44916","UK3",2006,0.0111591680388216,"commonlaw",0
"44927","UK3",2007,0.0121306349554408,"commonlaw",0
"44938","UK3",2008,0.012807364566172,"commonlaw",0
"44949","UK3",2009,0.0130659936048132,"commonlaw",0
"44960","UK3",2010,0.0134386049179931,"commonlaw",0
